date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:33:52	68101/68101	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:52%20GMT	https://softek.radiantthemes.com/home-version-one/assets/transparent.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/assets/transparent.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:33:54	19766/19766	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Jul%202021%2010:33:54%20GMT	https://player.vimeo.com/api/player.js	C:/Users/Mov's/Desktop/Test2/player.vimeo.com/api/player.js	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:33:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2010:33:54%20GMT	https://softek.radiantthemes.com/home-version-one/origin=https://	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/origin=https_/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:33:57	68089/68089	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:57%20GMT	https://softek.radiantthemes.com/home-version-one/popper.js	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/popper.js	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:01	68088/68088	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:58%20GMT	https://softek.radiantthemes.com/home-version-one/Trident/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/Trident/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:01	68085/68085	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:58%20GMT	https://softek.radiantthemes.com/home-version-one/Edge/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/Edge/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:01	68086/68086	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:59%20GMT	https://softek.radiantthemes.com/home-version-one/Gecko/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/Gecko/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:02	68088/68088	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:59%20GMT	https://softek.radiantthemes.com/home-version-one/Firefox/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/Firefox/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:03	68087/68087	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:34:02%20GMT	https://softek.radiantthemes.com/home-version-one/Version/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/Version/index.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:03	68087/68087	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:34:02%20GMT	https://softek.radiantthemes.com/home-version-one/version/	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/version/index-2.html	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2010:34:04%20GMT	https://softek.radiantthemes.com/home-version-one/GET	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/GET	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:05	68092/68092	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:34:05%20GMT	https://softek.radiantthemes.com/home-version-one/-negative.svg	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/-negative.svg	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:34:07	17108/17108	---M--	200	added ('OK')	image/png	etag:%2242d4-60740720-2b66f4;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Img_13.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Img_13.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:34:07	70/70	---M--	200	added ('OK')	image/png	etag:%2246-60d9eb39-23da4d;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:34:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2010:34:07%20GMT	https://softek.radiantthemes.com/home-version-one/HEAD	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/HEAD	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
